date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:02:33	22670/22670	U--MCZ	200	updated ('OK')	text/html	etag:%221500937345122|#public|0|en|||0|-2045021146|161771067%22	https://sites.google.com/site/abyouthliturature/system/app/pages/sitemap/hierarchy	C:/temp/sites/Spy%20Lit/web/hierarchy.html	(from https://sites.google.com/site/abyouthliturature/)
19:02:33	22406/22406	U--MCZ	200	updated ('OK')	text/html	etag:%221500937345122|#public|0|en|||0|-2045021146|161771067%22	https://sites.google.com/site/abyouthliturature/allen-zadoff-unknown-asassins-series	C:/temp/sites/Spy%20Lit/web/allen-zadoff-unknown-asassins-series.html	(from https://sites.google.com/site/abyouthliturature/)
19:02:33	44/44	U-----	200	untouched ('')	image/gif	date:Thu,%2021%20Apr%202016%2003:17:22%20GMT	http://ssl.gstatic.com/editor/bubble2_tr.gif	C:/temp/sites/Spy%20Lit/web/images/bubble2_tr.gif	(from https://ssl.gstatic.com/sites/p/643403/system/app/css/trogedit.css)
19:02:33	11098/11098	U--MCZ	200	updated ('OK')	text/html	etag:%221500937345122|#public|0|en|||0|-2045021146|161771067%22	https://sites.google.com/site/abyouthliturature/system/app/pages/reportAbuse	C:/temp/sites/Spy%20Lit/web/reportabuse.html	(from https://sites.google.com/site/abyouthliturature/)
19:02:33	425/425	---MCZ	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2024%20Jul%202017%2023:02:34%20GMT	https://sites.google.com/site/sites/system/app/images/icon_plusone.png	C:/temp/sites/Spy%20Lit/web/images/icon_plusone.22.delayed	(from https://sites.google.com/site/abyouthliturature/_/rsrc/1499966776000/system/app/css/editor.css)
19:02:33	299933/299933	U-F---	200	untouched ('OK%20(cached)')	application/x-javascript	date:Thu,%2013%20Jul%202017%2018:35:50%20GMT	https://ssl.gstatic.com/sites/p/643403/system/js/jot_min_view__en.js	C:/temp/sites/Spy%20Lit/web/images/jot_min_view__en.js	(from https://sites.google.com/site/abyouthliturature/)
19:02:34	472/472	---MCZ	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2024%20Jul%202017%2023:02:34%20GMT	https://www.google.com/a/UniversalLogin?service=jotspot&passive=1209600&continue=https://sites.google.com/site/sites/system/app/images/icon_plusone.png&followup=https://sites.google.com/site/sites/system/app/images/icon_plusone.png	C:/temp/sites/Spy%20Lit/web/images/universallogin.23c521.delayed	(from https://sites.google.com/site/abyouthliturature/_/rsrc/1499966776000/system/app/css/editor.css)
19:02:34	13113/13113	U-----	200	untouched ('')	image/gif	date:Fri,%2021%20Jul%202017%2020:18:18%20GMT	https://sites.google.com/site/abyouthliturature/_/rsrc/1499966776000/system/app/images/toolbar-check.gif	C:/temp/sites/Spy%20Lit/web/images/toolbar-check.gif	(from https://sites.google.com/site/abyouthliturature/_/rsrc/1499966776000/system/app/css/editor.css)
19:02:34	259/259	U-----	200	untouched ('')	image/png	date:Fri,%2021%20Jul%202017%2020:18:19%20GMT	https://sites.google.com/site/abyouthliturature/_/rsrc/1499966776000/system/app/images/icon-help-kennedy.png	C:/temp/sites/Spy%20Lit/web/images/icon-help-kennedy.png	(from https://sites.google.com/site/abyouthliturature/_/rsrc/1499966776000/system/app/css/editor.css)
19:02:34	0/-1	---M--	302	error ('')			https://sites.google.com/site/sites/system/app/images/icon_plusone.png	C:/temp/sites/Spy%20Lit/web/images/icon_plusone.24.delayed	(from https://sites.google.com/site/abyouthliturature/_/rsrc/1499966776000/system/app/css/editor.css)
19:02:34	0/-1	---M--	302	error ('')			https://www.google.com/a/UniversalLogin?service=jotspot&passive=1209600&continue=https://sites.google.com/site/sites/system/app/images/icon_plusone.png&followup=https://sites.google.com/site/sites/system/app/images/icon_plusone.png	C:/temp/sites/Spy%20Lit/web/images/universallogin.25c521.delayed	(from https://sites.google.com/site/abyouthliturature/_/rsrc/1499966776000/system/app/css/editor.css)
19:02:34	0/-1	---M--	302	error ('')			https://sites.google.com/site/sites/system/app/images/icon_plusone.png	C:/temp/sites/Spy%20Lit/web/images/icon_plusone.26.delayed	(from https://sites.google.com/site/abyouthliturature/_/rsrc/1499966776000/system/app/css/editor.css)
19:02:34	0/-1	---M--	302	error ('')			https://www.google.com/a/UniversalLogin?service=jotspot&passive=1209600&continue=https://sites.google.com/site/sites/system/app/images/icon_plusone.png&followup=https://sites.google.com/site/sites/system/app/images/icon_plusone.png	C:/temp/sites/Spy%20Lit/web/images/universallogin.27c521.delayed	(from https://sites.google.com/site/abyouthliturature/_/rsrc/1499966776000/system/app/css/editor.css)
19:02:34	0/-1	---M--	302	error ('')			https://sites.google.com/site/sites/system/app/images/icon_plusone.png	C:/temp/sites/Spy%20Lit/web/images/icon_plusone.28.delayed	(from https://sites.google.com/site/abyouthliturature/_/rsrc/1499966776000/system/app/css/editor.css)
19:02:34	0/-1	---M--	302	error ('')			https://www.google.com/a/UniversalLogin?service=jotspot&passive=1209600&continue=https://sites.google.com/site/sites/system/app/images/icon_plusone.png&followup=https://sites.google.com/site/sites/system/app/images/icon_plusone.png	C:/temp/sites/Spy%20Lit/web/images/universallogin.29c521.delayed	(from https://sites.google.com/site/abyouthliturature/_/rsrc/1499966776000/system/app/css/editor.css)
19:02:34	0/-1	---M--	302	error ('')			https://sites.google.com/site/sites/system/app/images/icon_plusone.png	C:/temp/sites/Spy%20Lit/web/images/icon_plusone.2a.delayed	(from https://sites.google.com/site/abyouthliturature/_/rsrc/1499966776000/system/app/css/editor.css)
19:02:34	0/-1	---M--	302	error ('')			https://www.google.com/a/UniversalLogin?service=jotspot&passive=1209600&continue=https://sites.google.com/site/sites/system/app/images/icon_plusone.png&followup=https://sites.google.com/site/sites/system/app/images/icon_plusone.png	C:/temp/sites/Spy%20Lit/web/images/universallogin.2bc521.delayed	(from https://sites.google.com/site/abyouthliturature/_/rsrc/1499966776000/system/app/css/editor.css)
19:02:34	0/-1	---M--	302	error ('')			https://sites.google.com/site/sites/system/app/images/icon_plusone.png	C:/temp/sites/Spy%20Lit/web/images/icon_plusone.2c.delayed	(from https://sites.google.com/site/abyouthliturature/_/rsrc/1499966776000/system/app/css/editor.css)
19:02:34	0/-1	---M--	302	error ('')			https://www.google.com/a/UniversalLogin?service=jotspot&passive=1209600&continue=https://sites.google.com/site/sites/system/app/images/icon_plusone.png&followup=https://sites.google.com/site/sites/system/app/images/icon_plusone.png	C:/temp/sites/Spy%20Lit/web/images/universallogin.2dc521.delayed	(from https://sites.google.com/site/abyouthliturature/_/rsrc/1499966776000/system/app/css/editor.css)
19:02:34	0/-1	---M--	302	error ('')			https://sites.google.com/site/sites/system/app/images/icon_plusone.png	C:/temp/sites/Spy%20Lit/web/images/icon_plusone.2e.delayed	(from https://sites.google.com/site/abyouthliturature/_/rsrc/1499966776000/system/app/css/editor.css)
19:02:34	0/-1	---M--	302	error ('')			https://www.google.com/a/UniversalLogin?service=jotspot&passive=1209600&continue=https://sites.google.com/site/sites/system/app/images/icon_plusone.png&followup=https://sites.google.com/site/sites/system/app/images/icon_plusone.png	C:/temp/sites/Spy%20Lit/web/images/universallogin.2fc521.delayed	(from https://sites.google.com/site/abyouthliturature/_/rsrc/1499966776000/system/app/css/editor.css)
19:02:34	0/-1	---M--	302	error ('')			https://sites.google.com/site/sites/system/app/images/icon_plusone.png	C:/temp/sites/Spy%20Lit/web/images/icon_plusone.30.delayed	(from https://sites.google.com/site/abyouthliturature/_/rsrc/1499966776000/system/app/css/editor.css)
19:02:34	0/-1	---M--	302	error ('')			https://www.google.com/a/UniversalLogin?service=jotspot&passive=1209600&continue=https://sites.google.com/site/sites/system/app/images/icon_plusone.png&followup=https://sites.google.com/site/sites/system/app/images/icon_plusone.png	C:/temp/sites/Spy%20Lit/web/images/universallogin.31c521.delayed	(from https://sites.google.com/site/abyouthliturature/_/rsrc/1499966776000/system/app/css/editor.css)
19:02:34	419/419	---MCZ	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2024%20Jul%202017%2023:02:34%20GMT	https://sites.google.com/site/sites/system/app/images/plusbadge.png	C:/temp/sites/Spy%20Lit/web/images/plusbadge.32.delayed	(from https://sites.google.com/site/abyouthliturature/_/rsrc/1499966776000/system/app/css/editor.css)
19:02:34	466/466	---MCZ	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2024%20Jul%202017%2023:02:35%20GMT	https://www.google.com/a/UniversalLogin?service=jotspot&passive=1209600&continue=https://sites.google.com/site/sites/system/app/images/plusbadge.png&followup=https://sites.google.com/site/sites/system/app/images/plusbadge.png	C:/temp/sites/Spy%20Lit/web/images/universallogin.33263a.delayed	(from https://sites.google.com/site/abyouthliturature/_/rsrc/1499966776000/system/app/css/editor.css)
19:02:34	0/-1	---M--	302	error ('')			https://sites.google.com/site/sites/system/app/images/plusbadge.png	C:/temp/sites/Spy%20Lit/web/images/plusbadge.34.delayed	(from https://sites.google.com/site/abyouthliturature/_/rsrc/1499966776000/system/app/css/editor.css)
19:02:34	0/-1	---M--	302	error ('')			https://www.google.com/a/UniversalLogin?service=jotspot&passive=1209600&continue=https://sites.google.com/site/sites/system/app/images/plusbadge.png&followup=https://sites.google.com/site/sites/system/app/images/plusbadge.png	C:/temp/sites/Spy%20Lit/web/images/universallogin.35263a.delayed	(from https://sites.google.com/site/abyouthliturature/_/rsrc/1499966776000/system/app/css/editor.css)
19:02:35	105/105	U-----	200	untouched ('')	image/png	date:Thu,%2021%20Apr%202016%2003:17:22%20GMT	http://ssl.gstatic.com/ui/v1/menu/checkmark-partial.png	C:/temp/sites/Spy%20Lit/web/images/checkmark-partial.png	(from https://ssl.gstatic.com/sites/p/643403/system/app/themes/terrarock/standard-css-terrarock-ltr-ltr.css)
19:02:35	2846/2846	U-----	200	untouched ('')	image/png	date:Thu,%2021%20Apr%202016%2003:17:22%20GMT	https://ssl.gstatic.com/images/icons/gplus-64.png	C:/temp/sites/Spy%20Lit/web/images/gplus-64.png	(from https://sites.google.com/site/abyouthliturature/_/rsrc/1499966776000/system/app/css/editor.css)
