date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:06:01	160310/160310	---M--	200	added ('OK')	image/jpeg	etag:%221500943444339%22	https://f1fb339a-a-62cb3a1a-s-sites.googlegroups.com/site/abyouthliturature/bodyguard/training2.jpg?attachauth=ANoY7cpK14xBdI324fVX4R6a_I4dEEs1G-43FKLKOrSplAoyZRmj_gO1_qm_A_Wi6UkNbgjnFtfZrWQm1x2WCLyNb0D9Z-OMw76b5KyRmuZ6CIkoCNupWiK0JXbCJA3ByPLzhrJ_yKTDSGzuZlwbNsYRLbcGUWUx0pLAQTkK7w-4epc-oUpbOWnSXTM1DjidwXy8cmfxF9F_uZO5NtZlPjl-0OdRgc1s6PZRgzUMy-Sfaqhi_TTWLKs%3D&attredirects=0	C:/temp/sites/Spy%20Lit/web/images/training20940.jpg	(from https://sites.google.com/site/abyouthliturature/bodyguard)
10:06:01	9541/9541	U-----	200	untouched ('')	image/jpeg	date:Tue,%2025%20Jul%202017%2002:06:34%20GMT	https://sites.google.com/site/abyouthliturature/_/rsrc/1500943444346/bodyguard/training2.jpg?height=142&width=320	C:/temp/sites/Spy%20Lit/web/images/training234a3.jpg	(from https://sites.google.com/site/abyouthliturature/bodyguard)
10:06:01	561/561	---MCZ	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2025%20Jul%202017%2014:06:01%20GMT	https://sites.google.com/site/abyouthliturature/harry-potter/harry.jpg?attredirects=0	C:/temp/sites/Spy%20Lit/web/images/harry.436fb5.delayed	(from https://sites.google.com/site/abyouthliturature/harry-potter)
10:06:01	263031/263031	---M--	200	added ('OK')	image/jpeg	etag:%221500937606013%22	https://f1fb339a-a-62cb3a1a-s-sites.googlegroups.com/site/abyouthliturature/harry-potter/harry.jpg?attachauth=ANoY7cpsTQ7Klrl9Pbs-_r8dV4Pi2AB9HW6w4IKH0df4ZcuqtIctn8nTqaaq77j3HubfJQCT1VyKCYchmwvqA-E1fK8oKOzH94LbsKtTQNzwjsejjfsgcI_RNjc4OcC1gTpWjUrXU9XhCb5AwjTOowH22BOfTYKVJjYBHyJUMkRvxu4ee5CGk3TF1qICaqy6XD5pr1R9eeBjQ3ayl48AJ-6Lg-bqObdvBX_7Hp-GVbk3bIKcuzysyAQ%3D&attredirects=0	C:/temp/sites/Spy%20Lit/web/images/harryb180.jpg	(from https://sites.google.com/site/abyouthliturature/harry-potter)
10:06:01	28742/28742	U-----	200	untouched ('')	image/jpeg	date:Mon,%2024%20Jul%202017%2023:44:36%20GMT	https://sites.google.com/site/abyouthliturature/_/rsrc/1500937606020/harry-potter/harry.jpg?height=300&width=400	C:/temp/sites/Spy%20Lit/web/images/harryf0aa.jpg	(from https://sites.google.com/site/abyouthliturature/harry-potter)
10:06:02	566/566	---MCZ	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2025%20Jul%202017%2014:06:02%20GMT	https://sites.google.com/site/abyouthliturature/michael-vey/Vey%20photo.jpg?attredirects=0	C:/temp/sites/Spy%20Lit/web/images/vey%20photo.476fb5.delayed	(from https://sites.google.com/site/abyouthliturature/michael-vey)
10:06:02	23640/23640	U-----	200	untouched ('')	image/jpeg	date:Mon,%2024%20Jul%202017%2023:02:41%20GMT	https://sites.google.com/site/abyouthliturature/_/rsrc/1500937058818/legend/future.jpg?height=211&width=320	C:/temp/sites/Spy%20Lit/web/images/future3204.jpg	(from https://sites.google.com/site/abyouthliturature/legend)
10:06:02	214807/214807	---M--	200	added ('OK')	image/jpeg	etag:%221500581840044%22	https://f1fb339a-a-62cb3a1a-s-sites.googlegroups.com/site/abyouthliturature/michael-vey/Vey%20photo.jpg?attachauth=ANoY7cr-cqZj2N41N1RFvhk4ZrzZjZgOaeyF6OHCRMU8QihczmkcSvXmr0bedLXMd_kgkiNbJbz89UtdmySQFgFgJM3BaRSJuGGP1cc7nMF2BQA-0vMY1il8AmTI1D_45VYek3BHQfIsHyEnUJCKmctQh2lR4tY7gFOfWGmm61s2Qt-6dnXDtKa-rvYOZgI0O4NyBw7zDwZydQflneTLFnp2w98999hugvqfaiKycXQEjcfcNgRMS8Y%3D&attredirects=0	C:/temp/sites/Spy%20Lit/web/images/vey%20photob99b.jpg	(from https://sites.google.com/site/abyouthliturature/michael-vey)
10:06:02	17091/17091	U-----	200	untouched ('')	image/jpeg	date:Mon,%2024%20Jul%202017%2023:02:43%20GMT	https://sites.google.com/site/abyouthliturature/_/rsrc/1500581840054/michael-vey/Vey%20photo.jpg?height=320&width=211	C:/temp/sites/Spy%20Lit/web/images/vey%20photo5ca5.jpg	(from https://sites.google.com/site/abyouthliturature/michael-vey)
10:06:02	2284/2284	U-----	200	untouched ('')	image/png	date:Fri,%2021%20Jul%202017%2020:18:25%20GMT	https://sites.google.com/site/abyouthliturature/_/rsrc/1500425253127/allen-zadoff-unknown-asassins-series/spy%201.png?height=136&width=200	C:/temp/sites/Spy%20Lit/web/images/spy%20157b1.png	(from https://sites.google.com/site/abyouthliturature/allen-zadoff-unknown-asassins-series)
